code,name,price,change,cap,sector
005930,삼성전자,"51,400",4.9,"306,846,823,070,000",전기전자
000660,SK하이닉스,"84,100",3.44,"61,224,998,896,500",전기전자
207940,삼성바이오로직스,"566,000",4.81,"37,449,390,000,000",의약품
035420,NAVER,"179,000",4.99,"29,403,147,705,000",서비스업
068270,셀트리온,"211,000",1.86,"27,081,136,609,000",의약품
051910,LG화학,"362,500",5.69,"25,589,724,337,500",화학
005380,현대차,"100,500",1.41,"21,473,652,793,500",운수장비
006400,삼성SDI,"286,500",5.72,"19,701,037,845,000",전기전자
051900,LG생활건강,"1,249,000",4.87,"19,507,128,053,000",화학
028260,삼성물산,"95,900",2.02,"18,191,275,123,700",유통업
012330,현대모비스,"179,500",2.87,"17,062,317,573,000",운수장비
017670,SK텔레콤,"199,000",1.27,"16,068,396,489,000",통신업
005490,POSCO,"176,000",0,"15,344,882,960,000",철강금속
035720,카카오,"172,000",3.93,"14,956,634,100,000",서비스업
036570,엔씨소프트,"649,000",0.92,"14,248,160,278,000",서비스업
055550,신한지주,"28,500",1.6,"13,749,326,050,500",금융업
105560,KB금융,"32,350",1.41,"13,451,386,212,000",금융업
034730,SK,"188,500",4.43,"13,262,915,984,500",금융업
015760,한국전력,"20,600",1.73,"13,224,459,986,200",전기가스업
018260,삼성에스디에스,"164,000",3.8,"12,689,959,200,000",서비스업
000270,기아차,"29,900",3.1,"12,120,364,075,300",운수장비
003550,LG,"62,100",0.96,"10,715,797,835,100",금융업
033780,KT&G,"78,000",1.04,"10,708,814,766,000",기타제조
090430,아모레퍼시픽,"180,500",4.64,"10,551,757,445,000",화학
032830,삼성생명,"48,550",2.32,"9,710,000,000,000",금융업
000810,삼성화재,"191,500",0,"9,072,281,285,500",금융업
096770,SK이노베이션,"97,700",1.03,"9,033,885,602,800",화학
066570,LG전자,"54,500",1.87,"8,918,805,863,000",전기전자
009150,삼성전기,"114,000",8.57,"8,515,081,344,000",전기전자
251270,넷마블,"96,400",0.21,"8,270,086,977,600",서비스업
010130,고려아연,"404,000",1.94,"7,623,480,000,000",철강금속
010950,S-Oil,"67,200",1.66,"7,565,563,622,400",화학
086790,하나금융지주,"24,750",2.06,"7,430,991,034,500",금융업
011170,롯데케미칼,"194,000",1.31,"6,649,431,286,000",화학
316140,우리금융지주,"8,220",1.48,"5,937,040,354,260",금융업
009540,한국조선해양,"82,000",2.5,"5,803,395,512,000",운수장비
030200,KT,"22,000",2.33,"5,744,459,776,000",통신업
035250,강원랜드,"24,950",1.01,"5,337,815,475,000",서비스업
032640,LG유플러스,"12,150",0,"5,304,828,036,150",통신업
002790,아모레G,"62,500",3.65,"5,153,636,250,000",화학
018880,한온시스템,"9,120",1.22,"4,868,256,000,000",기계
271560,오리온,"117,500",1.26,"4,645,495,510,000",음식료품
021240,코웨이,"61,700",2.15,"4,553,436,492,300",서비스업
024110,기업은행,"7,880",2.07,"4,547,996,994,520",금융업
034220,LG디스플레이,"11,500",3.14,"4,114,880,550,000",전기전자
086280,현대글로비스,"104,500",3.98,"3,918,750,000,000",운수창고업
267250,현대중공업지주,"233,500",2.19,"3,802,925,069,500",화학
000720,현대건설,"33,150",0.76,"3,691,443,609,750",건설업
078930,GS,"38,800",0.39,"3,605,116,666,400",금융업
006800,미래에셋대우,"5,440",7.51,"3,581,241,259,520",금융업
097950,CJ제일제당,"237,000",0,"3,567,842,082,000",음식료품
000120,CJ대한통운,"147,500",3.15,"3,364,820,740,000",운수창고업
029780,삼성카드,"29,000",0.87,"3,359,907,839,000",금융업
139480,이마트,"115,500",0.87,"3,219,657,094,500",유통업
012750,에스원,"83,700",0.36,"3,180,531,198,600",서비스업
011070,LG이노텍,"132,500",5.16,"3,135,891,677,500",전기전자
000100,유한양행,"46,700",1.08,"3,122,213,027,000",의약품
128940,한미약품,"262,000",1.16,"3,102,873,598,000",의약품
008770,호텔신라,"77,700",4.86,"3,049,579,001,700",유통업
004990,롯데지주,"27,450",3.39,"2,879,758,555,650",금융업
000210,대림산업,"78,700",4.79,"2,738,760,000,000",건설업
071050,한국금융지주,"49,100",8.03,"2,736,146,207,200",금융업
010140,삼성중공업,"4,335",1.52,"2,731,050,000,000",운수장비
005830,DB손해보험,"37,700",0.26,"2,669,160,000,000",금융업
161390,한국타이어앤테크놀로지,"21,400",3.63,"2,650,926,476,600",화학
004020,현대제철,"19,750",3.4,"2,635,554,253,750",철강금속
282330,BGF리테일,"151,000",2.72,"2,609,869,806,000",유통업
016360,삼성증권,"28,850",5.1,"2,576,305,000,000",금융업
005940,NH투자증권,"9,110",5.68,"2,563,634,960,570",금융업
003410,쌍용양회,"4,980",1.97,"2,509,220,783,100",비금속광물
004170,신세계,"252,500",8.14,"2,485,908,202,500",유통업
036460,한국가스공사,"26,900",1.13,"2,483,219,700,000",전기가스업
007070,GS리테일,"31,850",2.91,"2,452,450,000,000",유통업
023530,롯데쇼핑,"86,600",2.61,"2,449,806,183,000",유통업
009830,한화솔루션,"14,400",5.11,"2,325,301,776,000",화학
241560,두산밥캣,"22,450",3.94,"2,250,593,776,700",기계
028050,삼성엔지니어링,"11,450",4.09,"2,244,200,000,000",서비스업
047810,한국항공우주,"22,600",2.26,"2,202,937,418,200",운수장비
001450,현대해상,"24,550",0.61,"2,194,770,000,000",금융업
001040,CJ,"72,200",1.98,"2,106,579,255,600",금융업
